study_id,species,strain,sex,drug,drug_delivery_mode,route_of_delivery,drug_delivery_location,dose,unit,time_of_administration,number_of_doses,outcome_measure,time_of_assessment,blinded_assessment_of_infarct_volume,blinded_induction_of_ischaemia,random_allocation,sample_size_calculation,use_of_comorbid_animals,animal_welfare_compliance,statement_of_potential_coi,duration_of_ischaemia,type_of_ischaemia,anaesthetic,method_of_mcao,control_group_mean,treatment_group_mean,control_group_n,treatment_group_n,control_group_calc_n,treatment_groups_per_control,control_group_sd,treatment_group_sd
Loddick 1996d,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,10,µg,30,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,100,74.34,8,13,8,1,0,118.622637
Relton 1996d,Rat,Sprague dawley,Male,IL-1RA,Protein,SubCut,Peripheral,500,mg/kg,0,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,71.81,42.29,13,13,13,1,32.55812802,32.55812802
Loddick 1996e,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,10,µg,0,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,100,35.47,8,8,8,1,0,50.96825679
Relton 1996e,Rat,Sprague dawley,Male,IL-1RA,Protein,SubCut,Peripheral,500,mg/kg,30,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,84.14,64.76,13,13,13,1,46.87216658,40.49034082
Loddick 1996f,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,-30,Multiple,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,99.1,27.8,7,8,7,1,43.4,7.8
Relton 1996f,Rat,Sprague dawley,Male,IL-1RA,Protein,SubCut,Peripheral,500,mg/kg,60,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,73.35,65.86,13,13,13,1,41.2835621,28.59202161
Relton 1996g,Rat,Sprague dawley,Male,IL-1RA,Protein,IVenous,Peripheral,50,mg/kg,0,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,74.23,67.62,54,13,13.5,4,34.02341253,34.93779186
Relton 1996h,Rat,Sprague dawley,Male,IL-1RA,Protein,IVenous,Peripheral,500,mg/kg,0,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,76.21,39.87,13,13,13,1,40.49034082,28.59202161
Yang 1997a,Mouse,CD-1,Male,IL-1RA,Vector,ICerebVentricular,Central,2,ng/g,-7200,Continuous,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Isoflurane,Intraluminal filament/suture,140,69,6,6,6,1,39.19183588,48.98979486
Stroemer 1997a,Rat,Sprague dawley,Male,IL-1RA,Protein,Stereotactic,Central,5,µg,0,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,143.1,146,9,9,9,1,7,6.1
Stroemer 1997b,Rat,Sprague dawley,Male,IL-1RA,Protein,Stereotactic,Central,5,µg,0,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,155.5,102.7,9,9,9,1,5.6,8.5
Stroemer 1997c,Rat,Sprague dawley,Male,IL-1RA,Protein,Stereotactic,Central,5,µg,0,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,146,133.4,9,9,9,1,5.6,6.6
Stroemer 1997d,Rat,Sprague dawley,Male,IL-1RA,Protein,Stereotactic,Central,7.5,µg,0,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,163.4,126.1,9,9,9,1,6.6,6
Yang 1999a,Mouse,CD-1,Male,IL-1RA,Vector,ICerebVentricular,Central,,,-7200,Continuous,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Isoflurane,Intraluminal filament/suture,60,36,7,7,7,1,16.40365813,14.02248195
Yang 1999b,Mouse,CD-1,Male,IL-1RA,Vector,ICerebVentricular,Central,,,-7200,Continuous,Infarct Volume,168,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Isoflurane,Intraluminal filament/suture,55,37.89,7,7,7,1,18.22922653,14.71037729
Mao 2000a,Mouse,CD-1,Unknown,IL-1RA,Vector,ICerebVentricular,Central,,,-7200,Continuous,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Temporary,Isoflurane,Intraluminal filament/suture,60,36,8,8,8,1,17.53624817,14.99066376
Boutin 2001a,Mouse,C57BL/6,Male,IL-1RA,Protein,ICerebVentricular,Central,5,µg,-30,Multiple,Infarct Volume,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,Temporary,Halothane,Intraluminal filament/suture,21,14,13,10,13,1,3.605551275,9.486832981
Touzani 2002a,Mouse,C57/SV129,Male,IL-1RA,Protein,ICerebVentricular,Central,5,µg,-30,Multiple,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,46,22.77,8,8,8,1,14.82095813,11.59655121
Tsai 2003a,Rat,Sprague dawley,Male,IL-1RA,Vector,ICerebVentricular,Central,0.77,ng/g,,Continuous,Infarct Volume,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90,Temporary,Chloral Hydrate,Intraluminal filament/suture,187.48,95.7,10,10,10,1,49.71100482,32.5714599
Le Feuvre 2003a,Mouse,C57BL/6,Male,IL-1RA,Protein,ICerebVentricular,Central,10,µg,0,Multiple,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,34,14,7,7,7,1,18,10
Mulcahy 2003a,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,180,Single,Infarct Volume,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,213.16,118.42,7,9,7,1,52.22713088,78.96
Mulcahy 2003b,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,120,Single,Infarct Volume,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,205.26,90.79,7,8,7,1,62.65139105,64.00730583
Mulcahy 2003c,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,60,Single,Infarct Volume,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,150.79,81.58,10,10,10,1,68.24195191,58.2491545
Mulcahy 2003d,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,0,Multiple,Infarct Volume,48,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,30,14.5,11,10,11,1,14.92481156,12.64911064
Mulcahy 2003e,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,0,Multiple,Infarct Volume,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,36,15,6,6,6,1,9.797958971,7.348469228
Craft 2006a,Mouse,C57BL/6,Male,IL-1RA,Protein,ICerebVentricular,Central,6,µg,8640,Multiple,Infarct Volume,168,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,Temporary,Halothane,Intraluminal filament/suture,12.9,10,8,9,8,1,11.9076782,8.7
McColl 2007a,Mouse,C57BL/6J,Unknown,IL-1RA,Protein,IPeritoneal,Peripheral,300,mg/kg,-30,Multiple,Infarct Volume,24,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,30,Temporary,Halothane,Intraluminal filament/suture,14.59,17.17,6,6,6,1,8.5732141,3.723224409
McColl 2007b,Mouse,C57BL/6J,Unknown,IL-1RA,Protein,IPeritoneal,Peripheral,300,mg/kg,-30,Multiple,Infarct Volume,24,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,30,Temporary,Halothane,Intraluminal filament/suture,38.45,24.01,7,6,7,1,13.28167158,6.344178434
Clark 2008a,Rat,Sprague dawley,Male,IL-1RA,Protein,IVenous,Peripheral,,unknown,0,Continuous,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Temporary,Halothane,Intraluminal filament/suture,313.96,213.91,7,7,7,1,17.08,88.49
Greenhalgh 2010a,Rat,Sprague dawley,Male,IL-1RA,Protein,SubCut,Peripheral,100,mg/kg,0,Single,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,90,Temporary,Isoflurane,Intraluminal filament/suture,208.28,140.99,7,10,7,1,59.48,66.52
Pradillo 2012a,Rat,,Male,IL-1RA,Protein,SubCut,Peripheral,50,mg/kg,90,Multiple,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,90,Temporary,Isoflurane,Ligation,11,3.7,6,5,6,1,3.4,1.4
Pradillo 2012b,Rat,,Male,IL-1RA,Protein,SubCut,Peripheral,25,mg/kg,90,Multiple,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,90,Temporary,Isoflurane,Ligation,12.3,5.7,6,5,6,1,5.8,2.3
Pradillo 2012c,Rat,,Male,IL-1RA,Protein,SubCut,Peripheral,50,mg/kg,270,Multiple,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,90,Temporary,Isoflurane,Ligation,12.5,6.7,8,8,8,1,6.2,2.9
Xia 2014a,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,5,mg/kg,180,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,33.62,23.5,5,5,1.666666667,3,2.705,3.99
Girard 2014a,Rat,Wistar,Male,IL-1RA,Protein,SubCut,Peripheral,100,mg/kg,0,Single,Infarct Volume,672,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,60,Temporary,Isoflurane,Intraluminal filament/suture,12.95950156,11.96261682,10,5,5,2,17.3383448,23.96284685
Denes 2014a,Mouse,C57BL/6J,Male,IL-1RA,Protein,IPeritoneal,Peripheral,100,mg/kg,90,Single,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,30,Temporary,Isoflurane,Intraluminal filament/suture,19.19,20.15,7,6,7,1,21.85390583,21.06561179
Xia 2014b,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,10,mg/kg,180,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,33.62,17.8,5,5,1.666666667,3,2.42,3.28
Girard 2014b,Rat,Wistar,Male,IL-1RA,Protein,SubCut,Peripheral,100,mg/kg,1440,Single,Infarct Volume,672,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,60,Temporary,Isoflurane,Intraluminal filament/suture,12.95950156,22.42990654,10,5,5,2,17.3383448,28.97832644
Denes 2014b,Mouse,C57BL/6J,Male,IL-1RA,Protein,IPeritoneal,Peripheral,100,mg/kg,90,Single,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,30,Temporary,Isoflurane,Intraluminal filament/suture,37.97,18.88,6,6,6,1,33.85194825,17.75880064
Xia 2014c,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,20,mg/kg,180,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,33.62,14.1,5,5,1.666666667,3,2.42,3.99
Denes 2014c,Rat,Wistar,Male,IL-1RA,Protein,SubCut,Peripheral,100,mg/kg,120,Single,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,60,Temporary,Isoflurane,Ligation,40.31,28.91,7,7,7,1,10.2,8.61
Xia 2014d,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,5,mg/kg,360,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,30.95,24.24,5,5,1.666666667,3,4.42,3.99
Denes 2014d,Rat,Wistar,Male,IL-1RA,Protein,SubCut,Peripheral,100,mg/kg,120,Single,Infarct Volume,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,60,Temporary,Isoflurane,Ligation,56.49,36.03,7,6,7,1,9.97,14.28
Xia 2014e,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,10,mg/kg,360,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,30.95,16.96,5,5,1.666666667,3,4.42,3.13
Xia 2014f,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,20,mg/kg,360,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,30.95,14.67,5,5,1.666666667,3,4.42,3.42
Xia 2014g,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,5,mg/kg,720,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,30.44,24.73,5,5,1.666666667,3,4.7,3.7
Xia 2014h,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,10,mg/kg,720,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,30.44,22.15,5,5,1.666666667,3,4.7,3.42
Xia 2014i,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,20,mg/kg,720,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,120,Temporary,Unknown,Intraluminal filament/suture,30.44,19,5,5,1.666666667,3,4.7,4.56
Maysami 2015a,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,45,Temporary,Isoflurane,Intraluminal filament/suture,31.08,16.86,7,7,7,1,12.81,8.39
Maysami 2015b,Mouse,Balb/c,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,672,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,Permanent,Halothane,electrocoagulation,22.13,21.4,13,13,13,1,4.54,6.53
Maysami 2015c,Mouse,Balb/c,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,Permanent,Isoflurane,electrocoagulation,42.33,25.65,13,14,13,1,12.14,4.75
Maysami 2015d,Mouse,Balb/c,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,Permanent,Isoflurane,electrocoagulation,38.73,28.52,15,14,15,1,5.41,5.46
Maysami 2015e,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,30,Temporary,Isoflurane,Intraluminal filament/suture,43.81,24.28,9,9,9,1,13.96,11.1
Maysami 2015f,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,30,Temporary,Isoflurane,Intraluminal filament/suture,67.92,60.39,6,6,6,1,2.54,2.02
Maysami 2015g,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,30,Temporary,Isoflurane,Intraluminal filament/suture,76.34,60.97,9,9,9,1,8.54,7.46
Maysami 2015h,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,30,Thrombotic,Isoflurane,thrombin,21.26,7.85,5,6,5,1,9.85,4.51
Maysami 2015i,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,30,Thrombotic,Isoflurane,thrombin,15.6,7.12,7,8,7,1,11.1,3.57
Maysami 2015j,Mouse,C57BL/6,Male,IL-1RA,Protein,SubCut,Peripheral,200,mg/kg,30,Multiple,Infarct Volume,168,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,Permanent,Tribromoethanol,electrocoagulation,22.01,8.98,11,12,11,1,11.31,7.49
Pradillo 2016a,Rat,,Male,IL-1RA,Protein,SubCut,Peripheral,50,mg/kg,270,Multiple,Infarct Volume,168,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,90,Temporary,Isoflurane,Ligation,58.59,44.47,10,10,10,1,18.36,10.05
Clausen 2016a,Mouse,,Male,IL-1RA,Transgenic,,Central,,Tg,,,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,Permanent,Isoflurane,electrocoagulation,21.36,12.13,14,14,14,1,8.32,5.25
Pradillo 2016b,Rat,,Male,IL-1RA,Protein,SubCut,Peripheral,25,mg/kg,270,Multiple,Infarct Volume,168,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,90,Temporary,Isoflurane,Ligation,69.85,38.06,9,9,9,1,34.99,12.47
Clausen 2016b,Mouse,C57BL/6,Male,IL-1RA,IL-1 RA Tg BM cells,IVenous,Peripheral,,unknown dose of cells,-60480,Single,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,Permanent,Isoflurane,electrocoagulation,20.96,12.69,12,12,12,1,5.38,6.96
Pradillo 2016c,Rat,Wistar,Male,IL-1RA,Protein,SubCut,Peripheral,100,mg/kg,270,Multiple,Infarct Volume,672,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,70,Temporary,Isoflurane,Ligation,58.24,37.54,8,8,8,1,23.9,14.55
Clausen 2016c,Mouse,,Male,IL-1RA,IL-1 RA Tg BM cells,IVenous,Peripheral,10000000,cells,30,Single,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,Permanent,Isoflurane,electrocoagulation,24.5,16.47,14,14,14,1,4.15,5.95
Clausen 2016d,Mouse,,Male,IL-1RA,IL-1 RA Tg BM cells,IVenous,Peripheral,10000000,cells,30,Single,Infarct Volume,120,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7200,Permanent,Isoflurane,electrocoagulation,7.97,3.78,14,14,14,1,6.11,3.06
Clausen 2016e,Mouse,,Male,IL-1RA,IL-1 RA Tg BM cells,IVenous,Peripheral,10000000,cells,30,Single,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,40,Temporary,Isoflurane,DataDictionary_Infarctv,63.24,47.04,15,17,15,1,30.31,27.18
